nominal_size,schedule,outside_diameter_in,inside_diameter_in
1/8,10S,0.405,0.307
1/8,40ST,0.405,0.269
1/8,40S,0.405,0.269
1/8,80XS,0.405,0.215
1/8,80S,0.405,0.215
1/4,10S,0.54,0.41
1/4,40ST,0.54,0.364
1/4,40S,0.54,0.364
1/4,80XS,0.54,0.302
1/4,80S,0.54,0.302
3/8,10S,0.675,0.545
3/8,40S,0.675,0.493
3/8,80S,0.675,0.423
1/2,5S,0.84,0.71
1/2,10S,0.84,0.674
1/2,40ST,0.84,0.622
1/2,40S,0.84,0.622
1/2,80XS,0.84,0.546
1/2,80S,0.84,0.546
1/2,160,0.84,0.464
1/2,XX,0.84,0.252
3/4,5S,1.05,0.92
3/4,10S,1.05,0.884
3/4,40ST,1.05,0.824
3/4,40S,1.05,0.824
3/4,80XS,1.05,0.742
3/4,80S,1.05,0.742
3/4,160,1.05,0.612
3/4,XX,1.05,0.434
1,5S,1.315,1.185
1,10S,1.315,1.097
1,40ST,1.315,1.049
1,40S,1.315,1.049
1,80XS,1.315,0.957
1,80S,1.315,0.957
1,160,1.315,0.815
1,XX,1.315,0.599
1 1/4,5S,1.66,1.53
1 1/4,10S,1.66,1.442
1 1/4,40ST,1.66,1.38
1 1/4,40S,1.66,1.38
1 1/4,80XS,1.66,1.278
1 1/4,80S,1.66,1.278
1 1/4,160,1.66,1.16
1 1/4,XX,1.66,0.896
1 1/2,5S,1.9,1.77
1 1/2,10S,1.9,1.682
1 1/2,40ST,1.9,1.61
1 1/2,40S,1.9,1.61
1 1/2,80XS,1.9,1.5
1 1/2,80S,1.9,1.5
1 1/2,160,1.9,1.338
1 1/2,XX,1.9,1.1
2,5S,2.375,2.245
2,10S,2.375,2.157
2,40ST,2.375,2.067
2,40S,2.375,2.067
2,80XS,2.375,1.939
2,80S,2.375,1.939
2,160,2.375,1.687
2,XX,2.375,1.503
2 1/2,5S,2.875,2.709
2 1/2,10S,2.875,2.635
2 1/2,40ST,2.875,2.469
2 1/2,40S,2.875,2.469
2 1/2,80XS,2.875,2.323
2 1/2,80S,2.875,2.323
2 1/2,160,2.875,2.125
2 1/2,XX,2.875,1.771
3,5S,3.5,3.334
3,10S,3.5,3.26
3,40ST,3.5,3.068
3,40S,3.5,3.068
3,80XS,3.5,2.9
3,80S,3.5,2.9
3,160,3.5,2.624
3,XX,3.5,2.3
3 1/3,5S,4,3.834
3 1/3,10S,4,3.76
3 1/3,40ST,4,3.548
3 1/3,40S,4,3.548
3 1/3,80XS,4,3.364
3 1/3,80S,4,3.364
4,5S,4.5,4.334
4,10S,4.5,4.26
4,40ST,4.5,4.026
4,40S,4.5,4.026
4,80XS,4.5,3.826
4,80S,4.5,3.826
4,120,4.5,3.624
4,160,4.5,3.438
4,XX,4.5,3.152
5,5S,5.563,5.345
5,10S,5.563,5.295
5,40ST,5.563,5.047
5,40S,5.563,5.047
5,80XS,5.563,4.813
5,80S,5.563,4.813
5,120,5.563,4.563
5,160,5.563,4.313
5,XX,5.563,4.063
6,5S,6.625,6.407
6,10S,6.625,6.357
6,40ST,6.625,6.065
6,40S,6.625,6.065
